MA_Period,Final_Balance,Total_Return_Pct,Return_2013_Pct,Return_2014_Pct,Return_2015_Pct,Return_2016_Pct,Return_2017_Pct,Return_2018_Pct,Return_2019_Pct,Return_2020_Pct,Return_2021_Pct,Return_2022_Pct,Return_2023_Pct,Return_2024_Pct,Return_2025_Pct
64,42470.83349697589,-95.75291665030241,,-67.86698414893308,60.19754265841804,-26.80520548333849,376.88805810545443,-69.53075014695177,-10.324714374989885,45.49775872478652,-28.881958454384794,-80.97489243300994,-25.20722672559642,-34.627296146628595,-10.12622699387925
65,38152.40119111107,-96.18475988088889,,-66.32384911815949,60.62725190702143,-30.486351055250548,355.96553544768847,-66.78709957100442,-17.986565904310183,36.481087460342664,-27.484618900105417,-79.9237381130637,-26.15310568126611,-38.050810892456475,-10.126226993879195
66,47319.481993646485,-95.26805180063536,,-61.55608901046426,45.63776498301672,-35.8623526733469,414.8384145028711,-65.19352912100003,-2.6559074839107466,36.26546974560976,-31.26006920560386,-77.05073672159223,-32.03075258493651,-40.30108949690246,-13.395127113044635
67,46991.64576517376,-95.30083542348262,,-60.724613444564945,42.55608677347753,-38.77278750457296,407.3286024712056,-65.00559887819661,-4.631625056912392,49.661896972388185,-39.62597067325473,-76.84652207760342,-22.875650043828866,-42.06164642027615,-13.395127113044635
68,49647.412681889065,-95.03525873181108,,-53.070627276035744,52.48488771885129,-41.31482728041228,462.88762787500053,-69.98685884275919,-4.489293133985727,31.714320507013927,-36.8417118438203,-77.45518209987246,-18.18186461295179,-45.1500530460922,-12.948632238123881
69,55849.93932257913,-94.4150060677421,,-51.16701576227629,46.74326100362784,-40.26592769238114,402.0567204419305,-70.5267018258129,2.698515047561112,31.119404848300892,-32.079670120716784,-74.0842886395469,-18.730845867987224,-47.24651934108491,-13.228577903755179
70,63589.059888128744,-93.64109401118712,,-59.09065441212442,43.05714217047498,-43.98022662823605,540.614919388147,-71.9184892996584,16.50758369384151,32.039635992228675,-37.43258945377084,-72.04466491903354,-15.541417734760088,-45.32364388712764,-13.228577903755212
71,69189.53353934013,-93.08104664606599,,-53.882173852520665,47.2990123287377,-40.108868806917975,546.4294026329381,-71.52205447925759,20.12218332618987,30.811492310519274,-41.83293676325991,-69.47884733379507,-27.40211308213889,-47.61162910226415,-12.929025001624039
72,69657.50450934592,-93.03424954906541,,-50.24675403776655,40.48275230167633,-40.50090851983121,622.747659167834,-70.63783019564127,28.419771886727,15.530047761993426,-42.62884914718153,-71.74080745725455,-25.83558924546796,-48.16174129781382,-14.648295605209771
73,96639.6366419901,-90.33603633580098,,-48.65109152912491,47.75134135869248,-38.34943120577524,618.3021308952788,-72.12347146365632,28.238864756529214,25.9627877980501,-40.09297254453621,-71.5822982893635,-26.97900074632349,-39.85787430334432,-14.561323783998004
74,112957.72137603581,-88.70422786239642,,-51.75288078274416,51.87885402040058,-35.212763043104125,710.9105498904219,-71.82309512358363,39.41152936623822,15.049381045698794,-42.68391918077252,-71.59085202205715,-23.515744020446505,-40.27328532548313,-12.716292963525799
75,105573.71738871487,-89.4426282611285,,-58.5375571978589,48.92097772091704,-32.95359990545942,590.9802487609137,-68.7133166586381,49.636780744230904,16.68077868967506,-42.551299000497,-70.62336814310834,-23.74093189392099,-37.79815690823999,-15.602459836995807
76,108294.04085860122,-89.17059591413987,,-57.114930854405486,60.124328124973324,-34.28914646244265,566.9935412119056,-67.25122527208175,43.87199338888752,3.093942891601298,-35.81193920193293,-73.48658947151401,-15.524000941200978,-39.260906644386885,-15.168640450002835
77,126025.15222677436,-87.39748477732256,,-53.255353869016034,60.88049860592961,-34.22058941249022,550.6981078295884,-65.5683665124102,40.447834838218256,6.159215848782185,-26.982576571966398,-74.83694990081268,-28.003989654239458,-32.03780329596857,-15.168640450002835
78,140753.78210257587,-85.9246217897424,,-58.59432471318642,51.08336821678235,-32.973367670010056,575.4335154493368,-64.10034759767296,48.00164904022088,6.286802713530104,-26.396605485073454,-74.46495275957163,-25.70060044921648,-25.765533408682483,-15.103069165128257
79,137325.3516448092,-86.26746483551908,,-55.169680978894384,43.54130052503069,-33.113430549413,601.870851682495,-65.60634803845625,42.81263398270176,12.86847247327405,-33.20884793854483,-77.04670925168051,-14.665227540810765,-26.174499712483613,-15.103069165128257
80,239017.8322504467,-76.09821677495533,,-43.376653064037015,34.63317779820025,-32.36289587160523,704.0108314362243,-63.157640673425774,55.01094493446039,14.529270772426894,-33.82733465587033,-76.48602665129516,-10.33677321591272,-25.520966606489072,-15.168640450002812
81,315709.38929634815,-68.42906107036518,,-45.02351752713061,31.913497818019245,-28.236379464255034,676.1347621195346,-62.18760294626178,52.92612212951553,30.29751321090015,-33.06524971240176,-74.33260362258036,-6.253091823112323,-22.5369601332987,-16.853711206023704
82,303459.244905476,-69.6540755094524,,-41.20720681726805,34.68239188698645,-24.520377051211273,645.6740334564778,-60.99017622019579,38.821069685851064,13.91830721806009,-32.04775521933075,-73.51770536899585,-2.1406608173517028,-26.11360516816328,-15.172309619087898
83,313951.40738702315,-68.60485926129769,,-39.664349882780535,32.757543409058854,-19.55208005923955,596.0211023886897,-58.97296729084426,38.78707884152652,13.938472781043565,-33.49565129213923,-73.44191144708935,-1.7684146698837888,-26.38567086764654,-15.52229707782481
84,257297.09044163508,-74.27029095583649,,-42.89369247884913,25.660440448692825,-11.116643622891809,557.4452983606222,-59.439086294890274,28.475756958855534,5.78739060819129,-34.66910721145986,-71.33912351547174,-2.0712642916283164,-28.146318618343734,-15.52229707782481
85,245832.42099104795,-75.4167579008952,,-45.026962903348135,27.627511185315768,-14.673637495129332,528.9985664540587,-59.30237791032626,27.478520255023508,10.15953382712118,-34.848223665324205,-71.52673302696525,-1.1760495915597247,-26.24079390916948,-15.522297077824787
86,347013.2395895126,-65.29867604104874,,-44.45252917329559,26.14667086546103,-9.040526363264156,558.2227779249606,-56.65145924290314,21.01865490122876,24.541829224137835,-35.019913271978155,-72.29522507179115,0.043336084393774676,-19.10465080552409,-13.104669474924702
87,505827.4422391056,-49.41725577608944,,-43.065299093490786,34.294726196968824,3.5247268444440927,530.8105894951378,-58.512582573179515,17.855494147679284,25.34566652607577,-27.89854917654764,-70.2171425838898,3.0250748368930935,-14.384782647342897,-12.734317332728196
88,756744.1363667418,-24.32558636332581,,-39.70811928878861,44.20591045947213,4.6980672914447075,591.6428858368847,-56.610821701597324,22.996203042144693,25.55612373702225,-22.492355422928235,-69.78975644362774,-4.319576564977423,-12.231404400122315,-8.774855419300675
89,766003.3946449007,-23.399660535509938,,-41.129276692300465,41.04337518798036,4.407468747359333,571.1584043363328,-58.84474353571074,27.382184828646917,21.990996702219178,-11.543015767201382,-70.11047753130141,-5.449903214609575,-9.898015830950268,-8.607026581883947
90,1069982.052373672,6.998205237367183,,-38.65817940025691,42.800821316083756,15.042536187859735,573.3908554194688,-60.1218169129638,24.439567286262243,29.438065190318817,-5.91610944752502,-67.50277001577237,-4.387856933564183,-8.030872686360036,-8.695776703467196
91,952658.5065141417,-4.734149348585836,,-38.84081474833073,46.20879478237991,15.487874336212526,480.7298179817381,-58.37044977163757,13.85886251182582,32.48118877335966,-2.9560687322507273,-65.98256472953665,0.6936516722697128,-16.649949766279548,-8.695776703467196
92,1167450.6524863034,16.745065248630333,,-37.85281843269236,49.10108954763981,14.638557357037584,508.41579057879994,-59.11128541001176,11.53703099928558,25.770083488764328,15.40904644749228,-64.72059106239287,1.7081693739064097,-19.329374010455535,-5.730157073939779
93,1315970.486084937,31.597048608493683,,-42.714878366639255,44.769650273165595,15.773373193193496,451.2659054924288,-56.37882316679421,13.328435751116018,38.39414085592261,18.784007910082213,-62.77156430051407,7.443269539065489,-20.693221568224118,-3.554781597342538
94,960166.8617534573,-3.9833138246542665,,-45.147866925918514,39.334787458055565,9.344541941703334,450.6394912311074,-54.34706127083035,7.619412420212601,41.08473537531929,12.308048466099674,-64.91296082695908,2.029621441195828,-22.37078297559765,-3.554781597342571
95,1269710.6051416039,26.971060514160385,,-47.416184368625444,47.139167894067846,9.989109023260179,447.4112963863006,-53.481493827412706,13.675258189602113,38.169624237512735,26.93924120837505,-64.47651988142768,3.022763511185489,-16.720739285801578,-3.578214428969617
96,1586096.21690047,58.609621690047,,-47.85627611292357,51.76541795545897,20.647186422093554,458.3297192795366,-52.54634538189833,5.510190353108002,46.86561814803496,27.127708074559443,-63.477442685348606,7.7093973991626985,-16.08640098026092,-3.578214428969595
97,1919467.8137915623,91.94678137915623,,-43.35269027270463,47.02352328976054,16.6151667273456,458.4815831034613,-45.93666112540154,7.307254869880797,49.634324785289266,35.79340907412638,-64.59060983003337,2.6667797963640716,-13.720406646274697,-4.29106583320279
98,1771100.0276998663,77.11000276998664,,-47.11654671291428,35.19686824265471,20.798205024077234,460.00208941972636,-42.98881436641573,8.362672978522134,54.182194451502674,38.44934881281172,-65.71884047710701,-4.272176991070964,-11.59121228218708,-4.291065833202767
99,1468766.2466180227,46.87662466180227,,-47.971333748642486,27.796700990850454,14.547749078076588,492.0877114027645,-45.46212604906983,4.161292185470589,52.49242056661465,41.134040747639425,-68.0415662693277,-4.528460342968832,-8.773450002987616,-4.29106583320279
100,1534641.9659172841,53.46419659172841,,-44.049519747774525,27.301422867764135,16.02918078391502,519.1847684806945,-46.94094396309085,4.0278558925612495,43.975277499148646,47.028079642486766,-68.68055248385066,-12.322934795837037,-2.3364400374204286,-4.29106583320279
101,1734200.3918448621,73.42003918448621,,-41.97077229295443,26.82935927055363,15.411918600532793,519.5865755984618,-49.24095068260835,12.286099610075297,61.99711058310946,39.92796923454021,-69.86149498209255,-15.013330339897045,4.040818044894667,-4.291065833202767
102,2432823.1114677503,143.28231114677502,,-43.22006199691726,27.849336644558488,16.175705269350992,543.0095412368951,-40.97269906296334,11.510534684940431,62.89641467033486,42.605768662042934,-69.46227843287727,-5.0503096253909145,5.726607805893069,-4.29106583320279
103,1732350.695152341,73.23506951523409,,-44.91216012752617,17.4793036971697,19.380373494479564,500.83911612884833,-43.378401503554485,8.223591455069412,59.997918887916654,31.043748898429957,-70.47685991791262,-3.130937458035632,6.1189004810067615,-4.291065833202801
104,1730412.1954773285,73.04121954773284,,-52.02463275489204,29.531985680347606,24.41926193115238,537.1875672431186,-43.04435578961612,10.502519846939396,51.460156820380455,27.960483357802836,-71.30650987324604,-3.5165728783512096,8.67446731452317,-4.2910658332027785
105,1593987.516750851,59.3987516750851,,-52.93467358183682,37.27878271938554,10.248255907222026,493.31383143977047,-44.90086154235207,11.8942544989467,52.404798300292924,20.511025385326832,-67.3320860462209,-2.248373321472774,8.98038231456626,-4.291065833202767
106,1933053.8599594845,93.30538599594847,,-54.404520424017555,35.54855543991211,18.59219297240098,562.8678325232713,-43.90004472135215,18.40153463584624,66.81409830210738,12.335959447771527,-67.70979076070446,-3.164257659369496,9.170359288256913,-6.359969543546473
107,1643407.7012721947,64.34077012721949,,-58.79704231067531,33.68091649272307,16.561795097340728,641.4706623124052,-45.39013173052281,6.472181940695543,65.06451378686991,16.86127761480232,-69.47170313658206,-4.978738259117399,13.313268409381497,-6.359969543546484
108,1852797.9211586865,85.27979211586864,,-57.61697541517066,31.22511708928293,13.445980883932762,606.397127976536,-43.496150563951886,4.102593775130514,75.90425305074511,15.541652466633082,-70.12648459382184,8.01448832484013,19.69483765431903,-9.97091526200089
