MA_Period,Final_Balance,Total_Return_Pct,Balance_2013,Return_2013_Pct,Balance_2014,Return_2014_Pct,Balance_2015,Return_2015_Pct,Balance_2016,Return_2016_Pct,Balance_2017,Return_2017_Pct,Balance_2018,Return_2018_Pct,Balance_2019,Return_2019_Pct,Balance_2020,Return_2020_Pct,Balance_2021,Return_2021_Pct,Balance_2022,Return_2022_Pct,Balance_2023,Return_2023_Pct,Balance_2024,Return_2024_Pct,Balance_2025,Return_2025_Pct
25,1.6236220679166292e-227,-100.0,850692.4235903557,-14.930757640964432,9.934493516956778e-18,-100.0,3.437366371898035e-45,-100.0,1.729244421323205e-76,-100.0,4.841429901094163e-95,-100.0,1.2603565418751551e-115,-100.0,1.7380037797544316e-134,-100.0,1.9998265947476192e-153,-100.0,6.404372030897062e-172,-100.0,6.741797831645005e-191,-100.0,3.899116721090119e-208,-100.0,3.4936748736962115e-225,-100.0,1.6236220679166292e-227,-99.53526812693968
26,2.3478955567561342e-223,-100.0,862261.5505330676,-13.773844946693249,2.538005434418966e-17,-100.0,2.825513661267624e-44,-100.0,6.414358312345712e-75,-100.0,3.2452583689406374e-93,-100.0,2.7878098053276166e-113,-100.0,1.1089779592531135e-131,-100.0,3.8188467292191863e-150,-100.0,2.564816604363971e-168,-100.0,3.0512420982763185e-187,-100.0,4.2477284080995765e-204,-100.0,4.952554599175626e-221,-100.0,2.3478955567561342e-223,-99.5259223276111
27,2.575450081884437e-219,-100.0,862261.5505330676,-13.773844946693249,6.734618793615179e-17,-100.0,1.4906965878445813e-43,-100.0,8.753957841181126e-74,-100.0,1.655333721489129e-91,-100.0,2.8007098288348997e-111,-100.0,2.872519671859822e-129,-100.0,2.5284690503546615e-147,-100.0,3.7481902213817184e-165,-100.0,7.760176325793544e-184,-100.0,2.7358669948852196e-200,-100.0,5.155889522874612e-217,-100.0,2.575450081884437e-219,-99.50048385046689
28,1.7372092577135525e-215,-100.0,888892.2949146483,-11.110770508535172,1.698757142909786e-16,-100.0,1.3206444449540047e-42,-100.0,1.7718057692265012e-72,-100.0,4.692671192082455e-90,-100.0,3.307137567060229e-109,-100.0,7.92109880880844e-127,-100.0,1.460877282643996e-144,-100.0,3.1683050018633213e-162,-100.0,1.4867948483787199e-180,-100.0,1.104005894106458e-196,-99.99999999999999,2.998877312583343e-213,-100.0,1.7372092577135525e-215,-99.42071346152636
29,3.693515710526224e-212,-100.0,888892.2949146483,-11.110770508535172,4.172365923616793e-16,-100.0,1.5545451715012936e-41,-100.0,6.2314768620639805e-71,-100.0,2.3965071499479946e-88,-100.0,2.9740857481420395e-107,-100.0,1.1000430521981288e-124,-100.0,3.383615796922092e-142,-100.0,1.3518387735034732e-159,-100.0,1.3248902125617004e-177,-100.0,1.950081128813149e-193,-99.99999999999999,6.272265768450674e-210,-100.0,3.693515710526224e-212,-99.41113533021759
30,2.737521290546679e-208,-100.0,888892.2949146483,-11.110770508535172,8.819071992733584e-16,-100.0,1.2030401743598325e-40,-100.0,9.367515985176599e-70,-100.0,1.6485021091741822e-86,-100.0,5.063598497888042e-105,-100.0,3.9341672893813236e-122,-100.0,2.4142436491090423e-139,-100.0,2.2751518222737962e-156,-100.0,3.2286038560411244e-174,-100.0,6.825500807531476e-190,-99.99999999999997,3.899472036565909e-206,-99.99999999999999,2.737521290546679e-208,-99.29797642735309
31,1.742291911403337e-205,-100.0,888892.2949146483,-11.110770508535172,1.095191876208337e-15,-100.0,4.14684775244965e-40,-100.0,9.033824648466641e-69,-100.0,3.162056169530168e-85,-100.0,1.4457430026380017e-103,-100.0,1.4310408782389076e-120,-100.0,1.1386916404763925e-137,-100.0,2.2882178938802653e-154,-100.0,5.519916881774579e-172,-100.0,2.584408817267558e-187,-99.99999999999996,2.390550299784564e-203,-99.99999999999999,1.742291911403337e-205,-99.27117538101568
32,6.10602792891094e-202,-100.0,888892.2949146483,-11.110770508535172,2.027313836466205e-15,-100.0,1.4654643891106233e-39,-100.0,1.212376751378176e-67,-100.0,9.723651287609645e-84,-99.99999999999999,7.175463513545475e-102,-100.0,1.782660691692642e-118,-100.0,2.9209965221516305e-135,-100.0,1.4877045029603776e-151,-100.0,5.405763827157334e-169,-100.0,4.419372616567465e-184,-99.99999999999993,7.352046796355402e-200,-99.99999999999999,6.10602792891094e-202,-99.16947918069049
33,8.355973384509745e-199,-100.0,888892.2949146483,-11.110770508535172,3.27558188731169e-15,-100.0,7.739202087500772e-39,-100.0,1.4147742426606197e-66,-100.0,1.5353493560613838e-82,-99.99999999999999,2.127419798336193e-100,-100.0,1.475387461319606e-116,-99.99999999999999,5.3943065126589275e-133,-100.0,3.407083123692179e-149,-99.99999999999999,2.2043836516732873e-166,-100.0,2.9372580205269813e-181,-99.99999999999987,8.409132637037095e-197,-99.99999999999997,8.355973384509745e-199,-99.00632160947174
34,1.1865205294260299e-195,-100.0,888892.2949146483,-11.110770508535172,5.973950449812056e-15,-100.0,3.454777524974051e-38,-100.0,1.5520875690614732e-65,-100.0,4.085818802163908e-81,-99.99999999999997,7.0265027094086244e-99,-100.0,7.802263895629276e-115,-99.99999999999999,5.302784233088087e-131,-99.99999999999999,6.083358029350997e-147,-99.99999999999999,6.126960884776573e-164,-100.0,2.0811357435817298e-178,-99.99999999999966,1.0531743548769371e-193,-99.99999999999994,1.1865205294260299e-195,-98.87338642084133
35,1.1978938725348328e-192,-100.0,888892.2949146483,-11.110770508535172,9.070899446697281e-15,-100.0,1.7861313568914653e-37,-100.0,3.696653028518231e-64,-100.0,1.7139034613621252e-79,-99.99999999999996,5.036641736681109e-97,-100.0,7.511203926758091e-113,-99.99999999999999,7.748940576253065e-129,-99.99999999999999,1.416527621403327e-144,-99.99999999999997,2.4298147237381424e-161,-100.0,8.328244333644204e-176,-99.99999999999966,9.118136929043275e-191,-99.99999999999989,1.1978938725348328e-192,-98.68625149868141
36,1.6973421827773152e-190,-100.0,888892.2949146483,-11.110770508535172,1.589875860987639e-14,-100.0,4.791351997119621e-37,-100.0,1.880143598370536e-63,-100.0,1.9277112022754622e-78,-99.9999999999999,8.156553403278152e-96,-100.0,1.921475902766924e-111,-99.99999999999997,5.073571440855496e-127,-99.99999999999997,1.0702482620312641e-142,-99.99999999999997,2.3790644692565273e-159,-100.0,8.233088584547132e-174,-99.99999999999966,1.2424909541914063e-188,-99.99999999999984,1.6973421827773152e-190,-98.63391988726235
37,3.6087100571202983e-188,-100.0,888892.2949146483,-11.110770508535172,3.3275325956306225e-14,-100.0,2.7478762420864626e-36,-100.0,1.858207353871778e-62,-100.0,3.9448255248984086e-77,-99.99999999999979,3.813328575697848e-94,-100.0,1.5140254220193264e-109,-99.99999999999996,5.131608293943113e-125,-99.99999999999997,2.038773680424919e-140,-99.99999999999996,4.570140506673859e-157,-100.0,1.4381809215643544e-171,-99.99999999999969,2.832552853143671e-186,-99.9999999999998,3.6087100571202983e-188,-98.72598668260851
38,5.501327130562768e-186,-100.0,888892.2949146483,-11.110770508535172,3.6268347106299973e-14,-100.0,6.028594682212997e-36,-100.0,7.409724337433842e-62,-100.0,4.1610419280454926e-76,-99.99999999999943,6.634458575621503e-93,-100.0,2.6929832467072875e-108,-99.99999999999996,1.9075671492342883e-123,-99.99999999999993,1.0830785431288673e-138,-99.99999999999994,5.177564002753712e-155,-100.0,1.3301317969815747e-169,-99.99999999999974,4.0527594401460363e-184,-99.9999999999997,5.501327130562768e-186,-98.64257249614487
