short_period,long_period,final_value,total_return,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,value_2023,value_2024,value_2025,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025
5,43,440713441.6346385,43971.34416346385,1000000,861150.4048654487,1254014.9875616967,2830053.735590632,23566824.763941415,13739290.382476175,26076777.456878886,101091482.93859884,291787173.5520831,145699876.32541496,230343807.347956,489161927.2567582,440713441.6346385,0.0,-13.884959513455128,45.62090204876946,125.6794187997211,732.7341798343281,-41.70071479676773,89.79712001821143,287.6686185851218,188.6367526424648,-50.066387582520655,58.09471713860083,112.36165751043312,-9.90438603711883
5,44,483879173.2017961,48287.91732017961,1000000,883293.8728316327,1355811.0677038664,3059542.966702238,25190662.94474053,13522822.841857977,26182085.730866723,101584895.78621836,294478100.79882056,151119736.61282757,242493968.10336098,514964210.02711827,483879173.2017961,0.0,-11.670612716836727,53.494902365557515,125.6614538398574,723.3472521516037,-46.31811448741027,93.6140555640779,287.9939009842037,189.8837455309683,-48.68218173001989,60.464790065533535,112.36165751043308,-6.036348977278479
5,45,461840917.7838377,46084.091778383765,1000000,881845.8500892858,1392410.2744087707,3146219.267695335,26411786.164915748,13813142.643559992,26801019.95293032,96506402.74396369,279756374.95140314,143284793.96493638,231641360.20926076,491917432.02009875,461840917.7838377,0.0,-11.815414991071425,57.897241821548626,125.95490176422655,739.4769695839693,-47.70083871908382,94.02550632042866,260.08481361326716,189.88374553096833,-48.782295313260846,61.66499863617515,112.36165751043299,-6.114138731117828
5,46,486748496.43966603,48574.849643966605,1000000,858677.4862117347,1355828.066870938,3063559.9765900397,26867388.204456154,13969687.015227161,27104755.96267367,99669463.5655212,288925574.13435656,139513623.4496851,245688040.47920254,518447069.5173731,486748496.43966603,0.0,-14.13225137882653,57.897241821548675,125.95490176422652,776.9989296687922,-48.005042734633264,94.02550632042862,267.71946481561156,189.88374553096824,-51.71295449782224,76.10326103228816,111.01843968724216,-6.114138731117823
5,47,387443596.13014,38644.359613014,1000000,790887.1583529137,1278859.5565966566,2868252.471673903,25247825.140498303,13127595.892236613,22943357.378285788,86122530.7904107,220496115.16089872,112049883.12076247,196079964.45031527,391217340.7680015,387443596.13014,0.0,-20.911284164708633,61.699370522083676,124.28205324648718,780.2511421096676,-48.00504273463326,74.77196561065695,275.37021879770475,156.02605164669617,-49.18283116280834,74.99345736843728,99.51928381093322,-0.9646158911190454
5,48,333016564.42619205,33201.656442619205,1000000,749542.2984727443,1209085.761852175,2690875.884088808,24961216.507000376,11588331.979325162,20279643.612193853,76123742.59848681,194896612.54059994,97931947.79395355,171374501.31289235,341592585.3411668,333016564.42619205,0.0,-25.04577015272557,61.30987728321527,122.55459198913299,827.6242228263461,-53.574650594151876,75.00054061598279,275.3702187977047,156.02605164669623,-49.751847137131314,74.99345736843726,99.32521041592615,-2.5105992585902936
5,49,309492281.066172,30849.2281066172,1000000,749542.2984727443,1193441.3989446608,2613015.18165431,24489288.580378734,11754931.742656326,20355491.863045286,73869261.74918818,188204796.52994496,95153101.26924613,165545233.3130444,317462492.0375695,309492281.066172,0.0,-25.04577015272557,59.22268848287794,118.94792521567905,837.2042210973481,-51.999700995501385,73.16554709696209,262.8959803388262,154.7809360393578,-49.4417235779076,73.97775911119913,91.76782422798674,-2.510599258590303
5,50,227181961.53051037,22618.196153051038,1000000,747620.3951433271,1186189.9838167871,2602343.0447726,24389268.863042068,8811324.958039744,15170527.13551991,52768409.731247336,139382248.20798135,71200454.6701037,124046783.4589919,237881817.664111,227181961.53051037,0.0,-25.237960485667294,58.66206854741856,119.38669861290488,837.2042210973486,-63.872123401813575,72.17078257541529,247.83504396295262,164.13956554283797,-48.917128554375985,74.22189792711788,91.7678242279868,-4.497971403896372
5,51,215520709.37966937,21452.070937966935,1000000,747620.3951433271,1186189.9838167871,2556780.3024925366,23561572.62443203,8390274.668398548,14524061.384282589,51589772.22352829,136269000.21576738,66695061.667750016,115067052.43718232,220661582.8620611,215520709.37966937,0.0,-25.237960485667294,58.66206854741856,115.54559871308471,821.532937400311,-64.39000570064537,73.10591081107954,255.2021081331759,164.13956554283808,-51.05632127472462,72.5270950500107,91.76782422798672,-2.329754647688439
5,52,232430431.27014762,23143.04312701476,1000000,686427.2667152258,1074956.5729831823,2307005.637707925,22537279.06860439,7395445.876887094,13159258.621816339,48058568.00498713,125939960.83214976,65243213.60368415,112364383.49906318,237974656.89958638,232430431.27014762,0.0,-31.357273328477426,56.60167145270811,114.61384540452669,876.9061115514139,-67.18571991598871,77.93732576615598,265.20726118500534,162.05516739300413,-48.19498658520389,72.22386405061782,111.78833495897787,-2.3297546476884508
